"date","landingPagePath","source","medium","region","uniquePageviews","bounces","timeOnPage","sessions","newUsers","pageviews","exits","sessionDuration"
2020-05-28,"/office-of-admissions","google","organic","Lagos",1,1,0,1,0,1,1,0
2020-05-29,"/office-of-admissions","google","organic","Maine",2,2,0,2,0,2,2,0
2020-05-31,"/office-of-admissions","(direct)","(none)","Maine",4,0,73,1,1,4,1,73
2020-06-01,"/office-of-admissions","google","organic","(not set)",2,0,9,1,0,2,1,9
2020-06-01,"/office-of-admissions","google","organic","Massachusetts",2,0,1432,1,1,3,1,1432
2020-06-02,"/office-of-admissions","(direct)","(none)","(not set)",1,1,0,1,1,1,1,0
2020-06-02,"/office-of-admissions","(direct)","(none)","Addis Ababa",1,1,0,1,1,1,1,0
2020-06-02,"/office-of-admissions","(direct)","(none)","Busan",1,1,0,1,1,1,1,0
2020-06-02,"/office-of-admissions","google","organic","Maine",7,1,351,2,0,9,2,352
2020-06-02,"/office-of-admissions","yahoo","organic","New Hampshire",2,0,31,1,1,2,1,31
2020-06-03,"/office-of-admissions","cmusm","email","Maine",16,0,3455,1,0,25,1,3453
2020-06-03,"/office-of-admissions","google","organic","Maine",4,1,969,2,1,4,2,968
2020-06-03,"/office-of-admissions","google","organic","Mississippi",1,1,0,1,1,1,1,0
2020-06-03,"/office-of-admissions","google","organic","New York",1,0,1688,1,0,1,1,1688
2020-06-03,"/office-of-admissions","mycampus.maine.edu","referral","Maine",2,0,19,1,0,3,1,19
2020-06-04,"/office-of-admissions","google","organic","Massachusetts",2,0,33,1,0,2,1,33
2020-06-05,"/office-of-admissions","(direct)","(none)","Massachusetts",1,1,0,1,0,1,1,0
2020-06-05,"/office-of-admissions","google","organic","Maine",3,0,78,1,1,3,1,78
2020-06-06,"/office-of-admissions","(direct)","(none)","Massachusetts",1,1,0,1,0,1,1,0
2020-06-08,"/office-of-admissions","(direct)","(none)","(not set)",1,1,0,1,1,1,1,0
2020-06-08,"/office-of-admissions","(direct)","(none)","North Holland",1,1,0,1,1,1,1,0
2020-06-08,"/office-of-admissions","bing","organic","Maine",4,0,44,1,0,4,1,45
2020-06-08,"/office-of-admissions","google","organic","Maine",9,1,1635,3,1,16,3,1635
2020-06-09,"/office-of-admissions","(direct)","(none)","(not set)",1,1,0,1,1,1,1,0
2020-06-09,"/office-of-admissions","(direct)","(none)","Auvergne-Rhone-Alpes",1,1,0,1,1,1,1,0
2020-06-09,"/office-of-admissions","(direct)","(none)","England",1,1,0,1,1,1,1,0
2020-06-09,"/office-of-admissions","(direct)","(none)","Ile-de-France",1,1,0,1,1,1,1,0
2020-06-09,"/office-of-admissions","(direct)","(none)","Occitanie",1,1,0,1,1,1,1,0
2020-06-09,"/office-of-admissions","(direct)","(none)","Pays de la Loire",1,1,0,1,1,1,1,0
2020-06-09,"/office-of-admissions","google","organic","Maine",12,0,557,1,0,12,1,557
2020-06-09,"/office-of-admissions","google","organic","New York",2,0,149,1,1,2,1,149
2020-06-09,"/office-of-admissions","mail.google.com","referral","New York",2,0,113,1,0,4,1,113
2020-06-09,"/office-of-admissions","us.search.yahoo.com","referral","Mississippi",1,1,0,1,1,1,1,0
2020-06-10,"/office-of-admissions","(direct)","(none)","(not set)",4,4,0,4,3,4,4,0
2020-06-10,"/office-of-admissions","(direct)","(none)","Buenos Aires",1,1,0,1,1,1,1,0
2020-06-10,"/office-of-admissions","(direct)","(none)","Central Region",2,0,218,1,1,3,1,219
2020-06-10,"/office-of-admissions","(direct)","(none)","Maine",4,0,1466,1,0,5,1,1467
2020-06-10,"/office-of-admissions","(direct)","(none)","North Holland",1,1,0,1,1,1,1,0
2020-06-10,"/office-of-admissions","(direct)","(none)","Ontario",3,3,0,3,3,3,3,0
2020-06-10,"/office-of-admissions","(direct)","(none)","Saint Petersburg",1,1,0,1,1,1,1,0
2020-06-10,"/office-of-admissions","apply.commonapp.org","referral","Eastern Province",4,0,138,1,0,5,1,138
2020-06-10,"/office-of-admissions","google","cpc","Massachusetts",1,1,0,1,0,1,1,0
2020-06-10,"/office-of-admissions","google","organic","Maine",11,0,1535,1,0,20,1,1532
2020-06-10,"/office-of-admissions","google","organic","Mississippi",1,1,0,1,1,1,1,0
